あ		expr.	Ah; oh
構う	かまう	v.(u.)	to mind
髪	かみ	n.	hair
噛む	かむ	v.(u. t.)	to bite,to chew
家内	かない	n.	(my) wife; inside the home; one's family
必ず	かならず	adv.	always; certainly
悲しい	かなしい	adj.(i-adj.)	sad
考える	かんがえる	v.(ru. t.)	to think
看護婦	かんごふ	n.	female nurse
関係	かんけい	n.(suru)	relationship
彼女	かのじょ	pron.	she; her​
簡単	かんたん	n.(na-adj.)	simple; easy
彼	かれ	pron.	he; him​; his
彼ら	かれら	pron.	they; them
形	かたち	n.	shape
片付ける	かたづける	v.(ru. t.)	to tidy up
硬い	かたい	adj.(i-adj.)	hard
勝つ	かつ	v.(u. i.)	to win
乾く	かわく	v.(u. i.)	to get dry
代わり	かわり	n.	instead; in place
変わる	かわる	v.(u. i.)	to change
通う	かよう	v.(u. i.)	to commute
飾る	かざる	v.(u. t.)	to decorate
毛	け	n.	hair or fur
ケーキ		n.(kat.)	cake
怪我	けが	n.(suru)	to injure
計画	けいかく	n.(suru)	to plan
経験	けいけん	n.(suru)	to experience
警察	けいさつ	n.	police
経済	けいざい	n.	finance, economy
見物	けんぶつ	n.(suru)	sightseeing; visit
喧嘩	けんか	n.(suru)	to quarrel
研究	けんきゅう	n.(suru)	research
研究室	けんきゅうしつ	n.	laboratory
消しゴム		n.	eraser
景色	けしき	n.	scenery
気	き	n.	spirit
厳しい	きびしい	adj.(i-adj.)	strict
気分	きぶん	n.	feeling; mood
機会	きかい	n.	chance; opportunity
危険	きけん	n.(na-adj.)	danger
聞こえる	きこえる	v.(ru. i.)	to be heard; to be audible; to be said
決まる	きまる	v.(u. i.)	to be decided
決める	きめる	v.(ru. t.)	to decide
君	きみ	pron.	You
気持ち	きもち	n.	feeling
着物	きもの	n.	kimono; Japanese traditional clothing
近所	きんじょ	n.	neighbourhood
絹	きぬ	n.	silk
季節	きせつ	n.	season
汽車	きしゃ	n.	train
規則	きそく	n.	rule
子	こ	n.	child
心	こころ	n.	heart
国際	こくさい	n.	international
細かい	こまかい	adj.(i-adj.)	small, fine
米	こめ	n.	(husked grains of) rice
込む	こむ	v.(u. i.)	to be crowded
今度	こんど	n.	this time; next time
この間	このあいだ	Adverbial Noun	the other day; recently
このごろ		Adverbial Noun	these days; nowadays
コンピュータ		n.(kat.)	computer
コンサート		n.(kat.)	concert
今夜	こんや	n.	this evening; tonigh
これから		conj.	after this
故障	こしょう	n.(suru)	to break-down
答え	こたえ	n.	response
小鳥	ことり	n.	small bird
こう		adv.	this way
校長	こうちょう	n.	principal; headmaster
講堂	こうどう	n.	auditorium
郊外	こうがい	n.	suburb; residential area on the outskirt of a city
講義	こうぎ	n.(suru)	lecture
工業	こうぎょう	n.	industry
工場	こうじょう	n.	factory
高校	こうこう	n.	senior high school; high school​
高校生	こうこうせい	n.	high school student
公務員	こうむいん	n.	government worker
高等学校	こうとうがっこう	n.	high school
交通	こうつう	n.	traffic
怖い	こわい	adj.(i-adj.)	frightening
壊れる	こわれる	v.(ru. i.)	to be broken
壊す	こわす	v.(u. t.)	to break
首	くび	n.	neck
下さる	くださる	v.(u.)	(respectful) to give
雲	くも	n.	cloud
君	くん	suf.	suffix for familiar young male
比べる	くらべる	v.(ru. t.)	to compare
暮れる	くれる	v.(ru. i.)	to get dark
草	くさ	n.	grass
空気	くうき	n.	air
空港	くうこう	n.	airport
客	きゃく	n.	guest; customer
教育	きょういく	n.(suru)	education
教会	きょうかい	n.	church; congregation; Christian church
興味	きょうみ	n.	interest (in something); curiosity (about something); zest (for)
競争	きょうそう	n.(suru)	competition
急	きゅう	adj.(na-adj.)	sudden; abrupt; unexpected
急行	きゅうこう	n.(suru)	hurrying (to somewhere); rushing; hastening
間違える	まちがえる	v.(ru. t.)	to make a mistake (in)
参る	まいる	v.(u. i.)	(humble) to go; to come
負ける	まける	v.(ru. i.)	to lose
漫画	まんが	n.	comic
間に合う	まにあう	v.(u. i.)	to be in time (for)
真ん中	まんなか	n.	middle; centre; center
周り	まわり	n.	around
回る	まわる	v.(u. i.)	to go around
まず		adv.	first of all
召し上がる	めしあがる	v.(u. t.)	to eat; to drink​
珍しい	めずらしい	adj.(i-adj.)	unusual; rare
見える	みえる	v.(ru. i.)	to be seen; to be in sight; to look; to seem
港	みなと	n.	harbour
味噌	みそ	n.	fermented condiment made from soybeans
見つかる	みつかる	v.(u. i.)	to be found; to be discovered
見つける	みつける	v.(ru. t.)	to discover; to find; to come across; to detect; to spot
都	みやこ	n.	capital
湖	みずうみ	n.	lake
